,0,1,2,3,4,5,6
3,2016안건605,엠뉴스,7월  18일,대학뉴스,"코리아텍  홍보대사,  소외  아동들 위한  착한  구슬땀",〃,
4,2016안건606,업코리아,8월  8일,사회,"하양중앙내과병원  이덕영  원장, KTX에서  긴급환자  응급처치",〃,
5,2016안건607,인터넷 스포츠경향,8월  4일,생활,[지역아동센터  쌤들의  기분  좋은 상상]  틱장애를  이겨내는    마음의 노래,〃,
6,2016안건608,인터넷 중부일보,8월  29일,사회,"진주  건물  지붕  붕괴,  매몰자  2명 사망·1명  구조…""'쾅'하고  대포같은 소리  나며  무너져""",〃,
1,2016안건609,홍천인터넷신문,8월  15일,홍천뉴스,"모곡리  주택과  창고에  화재발생 1,400만원  피해",사생활 침해,
2,2016안건610,국민일보,9월  12일,12면,김형준  주변인물  10명  금융거래 전면  추적,피의자 신원 공개,
3,2016안건611,인터넷 국민일보,9월  13일,시사,[단독]  김형준  주변인물  10명 금융거래  전면  추적,〃,
4,2016안건612,동아일보,9월  12일,A12면,‘스폰서  검사’  향응접대한  고교동창 2003년  이후  5년간  사기죄등  복역,〃,
5,2016안건613,동아닷컴,9월  12일,사회,"‘스폰서  검사’  향응접대한  고교동창, 2003년이후  5년간  사기죄등  복역",〃,
6,2016안건614,중앙일보,9월  12일,8면,"검사  친구  팔고  다닌  동창  ""미래엔 형준이가  우리  스폰서""",〃,
7,2016안건615,온라인 중앙일보,9월  12일,사회,[단독]  검사  친구  팔고  다닌  동창 “미래엔  형준이가  우리  스폰서”,〃,
8,2016안건616,시사저널,9월  13일,76~77면,‘스폰서  검사’의  부끄러운  민낯 고질적인  검찰의  '도덕불감증',〃,
9,2016안건617,인터넷 시사저널,9월  9일,사회,“내연녀  생일  선물로  오피스텔  좀 사주게”...‘스폰서  검사’의  부끄러운 민낯,〃,
10,2016안건618,뉴시스,9월  8일,사회,"특별감찰팀,  '스폰서  부장검사'  고교 동창  사흘째  고강도  조사",〃,
11,2016안건619,인터넷 일요서울,9월  9일,사회,금품·향응·사욕으로  무너진  ‘법조 3륜’-검사편,〃,
12,2016안건620,인터넷 투데이신문,9월  7일,사회,"부장검사와  스폰서  고교동창,  그들의 삐뚤어진  30년  우정",〃,
13,2016안건621,검찰타임즈,3월  21일,사회,한인  성매매  전국서  잇따라  체포,〃,
14,2016안건622,군산뉴스,8월  17일,사회,"군산경찰서,  찾아가는  지문  사전등록 실시",정신질환자 신원 공개,
15,2016안건623,자주시보,8월  22일,민족   국제,"북,  공개적으로  일부  북  여성  종업원 살해되었을  가능성  제기",북한이탈주민 신원 공개,
16,2016안건624,경향신문,8월  1일,27면,‘물뽕’과  부동액,범죄수법상세묘사,
17,2016안건625,인터넷 경향신문,7월  31일,오피니언,[별별시선]‘물뽕’과  부동액,〃,
18,2016안건626,노컷뉴스,7월  28일,사회,"""남성들에  부동액   타먹이자""…남성혐오  사이트  충격",〃,
1,2016안건627,시사브레이크,7월  28일,사회,"道  넘은  혐오,  “남성에게  부동액타서 먹였다”",범죄수법상세묘사,
2,2016안건628,아시아경제닷컴,7월  28일,사회,“남자들  몰래  커피에  부동액  타 먹였다”…불특정  남성  대상  혐오 범죄?,〃,
3,2016안건629,인터넷 경기도민일보,7월  29일,사회,"부동액  커피,  피임약  커피까지? 남성들에게  건네며…""정말  가슴이 나올까?""",〃,
4,2016안건630,인터넷 미디어오늘,8월  4일,기고,‘재기한다'는  건  도대체  무엇에  대한 미러링인가,〃,
5,2016안건631,인터넷 서울경제,7월  28일,사회,“남성에  부동액  타  먹였다”  워마드 경찰  수사  착수에  네티즌  “암덩이들 도려내야”,〃,
6,2016안건632,인터넷 일요신문,7월  30일,사회,'한남충에  부동액  먹이자'  남혐 커뮤니티  워마드  논란,〃,
7,2016안건633,조선닷컴,7월  30일,사회,"""남성에  부동액  먹였다""  ""저수지에 밀쳐  죽였다""…경찰  수사  착수",〃,
8,2016안건634,story  K,6월  8일,사회,워마드가  또...  부동액으로  한국남성 살해하겠다,〃,
9,2016안건635,중앙일보,8월  3일,C7면,진단부터  재활까지  …  원스톱 척추·관절  중심  병원,기사형광고,
10,2016안건636,온라인 중앙일보,8월  3일,경제,[2016  소비자평가  No.1  브랜드 대상]  진단부터  재활까지  …  원스톱 척추·관절  중심  병원,〃,
11,2016안건637,광주일보,8월  10일,8면,수도권  1호점  낸  청연한방병원,〃,
12,2016안건638,인터넷 광주일보,8월  10일,시티&라이프,수도권  1호점  낸  청연한방병원,〃,
13,2016안건639,전남매일,8월  9일,5면,"청연  한의원,  수도권  진출  본격화",〃,
14,2016안건640,인터넷 전남매일,8월  9일,웰빙라이프,"청연  한의원,  수도권  진출  본격화",〃,
15,2016안건641,뉴스1코리아,8월  4일,전국,"청연한방병원,  수도권  진출…강남 청연한의원  개원",〃,
16,2016안건642,중부일보,8월  23일,14면,"""노인성  질환  통합진료…  병원 찾아다니는  일  줄일  것""",〃,
17,2016안건643,인터넷 중부일보,8월  23일,문화,"황장회  다인병원장  ""노인성  질환 통합진료…  병원  찾아다니는  일 줄일  것""",〃,
18,2016안건644,충청일보,8월  23일,12면,천안  최초  한·양방  협진  병원,〃,
19,2016안건645,인터넷 충청일보,8월  22일,충남,천안  최초  한·양방  협진  치료  병원,〃,
1,2016안건646,구리남양주뉴스아이,3월  31일,건강,구리  이과수  비뇨기과ㆍ피부과  오픈,기사형광고,
2,2016안건647,아이데일리,8월  11일,피플人,"[명치과  이명도,  이은진  원장] 가족같은  '명치과'  부녀  의사를 만나다!",〃,
1,2015안건319,지리산고향뉴스,8월  31일,민원.사건.이슈,남원농협  각종의혹  증폭  본격수사 착수!,사생활 침해,
2,2015안건320,휴먼누리,9월  1일,사건사고,사상구  엄궁동  코롱아파트 엘리베이터  추락사고,〃,
3,2015안건321,IBN 한국방송,9월  1일,사건/사고,안전사고(추락)  발생,〃,
4,2015안건322,IBS 중앙방송,9월  1일,지역,부산  사상구  엄궁로   코오롱아파트107동  3~4라인 엘리베이터  내  추락사고,〃,
5,2015안건323,제주의소리,9월  4일9월  9일,사회일반사회일반,"제민일보기자, 전공노본부장-백광식국장형사고소공무원폭행기자, 징계앞두고제주도기협탈퇴",피의자신원공개,
6,2015안건324,일요서울,제1111호   8월  17일,세상,‘분수쇼’  오르가즘의  충격적  재발견,성관련 보도,
1,2015안건325,인터넷 일요서울,8월  17일,사회,‘분수쇼’  오르가즘의  충격적  재발견,성관련 보도,
2,2015안건326,연합뉴스,8월  10일,사회,"""살아와  고마워""  어머니  눈물에 자살방조  여성  '선처'",자살 보도,
3,2015안건327,뉴스캔,8월  11일,사회,"""살아와  고마워""  어머니  눈물에 자살방조  여성  '선처'",〃,
4,2015안건328,뉴스1코리아,8월  25일,전국,"장수군  계약직  농촌지도사,  전북대서 목  매  숨져",〃,
5,2015안건329,디오데오,8월  25일,전국,"장수군  계약직  농촌지도사,  전북대서 목  매  숨져",〃,
6,2015안건333,부산일보,9월  8일,사회9면,"""작대기  팔아요""  마약  장터  된  SNS",마약 보도,
7,2015안건334,인터넷 부산일보,9월  7일,사회,"""작대기  팔아요""  마약  장터  된  SNS",〃,
8,2015안건335,조선닷컴,8월  10일,사회,인터넷·SNS  통해  은밀한 거래…마약에  빠진  청소년들,〃,
9,2015안건336,경기일보,8월  13일,사회7면,"""위안부  문제  사과를""",충격혐오감,
10,2015안건337,아시아경제,8월  13일,종합8면,독립운동가  후손  80대男  수요집회서 분신,〃,
11,2015안건338,아시아경제닷컴,8월  12일,사회,[포토]정대협  수요집회에서  분신 시도하는  남성,〃,
12,2015안건339,강원일보,8월  13일,종합6면,일본  대사관  앞서  80대  분신,〃,
13,2015안건340,경상일보,8월  13일,사회8면,日  대사관  앞  수요집회서  80대  노인 분신,〃,
14,2015안건341,인터넷 경상일보,8월  12일,사회,日  대사관  앞  수요집회서  80대  노인 분신,〃,
15,2015안건342,경남매일,8월  13일,종합1면,위안부  문제  日  항의  '분노의  분신',〃,
16,2015안건343,인터넷 경남매일,8월  12일,뉴스,위안부  문제  日  항의  ‘분노의  분신’,〃,
17,2015안건344,연합뉴스,8월  12일,사회,日  대사관  수요집회서  80대  남성 분신…3도  화상  치료중,〃,
18,2015안건345,위클리오늘,8월  13일,사회,"日대사관  앞  분신  80대  男···""내 목숨  조국위해  바치기로  결심""",〃,
19,2015안건346,인터넷 서울신문,8월  12일,사회,日대사관  수요집회서  80대  남성 분신…3도  화상  병원  이송,〃,
20,2015안건347,인터넷 영남일보,8월  12일,사회,주한  일본대사관  앞  80대  남성  분신,〃,
21,2015안건348,국민일보,8월  3일,건강H5면,수술  없이도  10분  정도면    거뜬 해결,기사형광고,
1,2015안건349,인터넷 국민일보,8월  3일,시사,"목·허리  디스크,  수술  없이도  10분 정도면  거뜬  해결…  강남 초이스정형외과병원  고주파 디스크치료",기사형광고,
2,2015안건350,쿠키뉴스,8월  9일,전체,"목·허리  디스크,  수술  없이   10분이면  거뜬  해결",〃,
3,2015안건351,여성조선,9월호,인터뷰,성공률  85%  이상'의  자연임신 전문가,〃,
4,2015안건352,여성조선 프리미엄,9월  4일,Hot  People,성공률  85%  이상’의  자연임신 전문가,〃,
5,2015안건353,국제뉴스,8월  6일,라이프·헬스,"MPT  튼살  치료,  피부과  튼살 제거가  효과적인  이유는?",〃,
6,2015안건354,뉴스1코리아,8월  26일,패션ㆍ뷰티,튼살치료하는  피부과MPT좁은부위  튼살제거에도  효과적,〃,
7,2015안건355,뉴스1코리아,8월  10일,의료,"미아피부과타임투의원,여드름흉터,기미잡티,주름…이제‘엑셀브이레이저’로 한꺼번에  잡자",〃,
8,2015안건356,뉴스컬처,8월  4일,라이프스타일,"‘지긋지긋했던여드름…72시간이면잡는다’…미아타임투의원,‘PSM스피큘링’",〃,
9,2015안건357,인터넷 서울경제,8월  11일,문화·스포츠,"부산피부과…  여름철  몸매관리, 운동으로  부족하다면",〃,
10,2015안건358,인터넷 헤럴드경제,8월  11일8월  31일,라이프라이프,"압구정성형외과  유명한곳,    이유있는 선택!압구정성형외과,  추석  연휴  앞두고 관심  급증",〃,
11,2015안건359,쿠키뉴스,8월  18일,사회,동안  만드는  ‘리쥬란힐러’  시술  주목,〃,
12,2015안건360,인터넷 이코노믹리뷰,9월  8일,뉴스,"리쥬란힐러,  주름제거와  콜라겐 재생에  탁월!  동안  시술에  효과  커",〃,
13,2015안건361,인터넷 서울경제,8월  21일,문화·스포츠,야탑  함소아한의원  8월  25일  새롭게 개원,〃,
14,2015안건362,e시사뉴스메이커,8월  26일,사회ㆍ문화ㆍ라이프,‘안면비대칭’  얼굴  틀어졌다고 얼굴만  치료하면  금새  재발,〃,
15,2015안건363,인터넷 헤럴드경제,8월  28일,라이프,광주    세움치과  임플란트  사후 관리까지  환자  만족도  높아,〃,
1,2014안건320,제천인터넷뉴스,10월  19일,사회면,<제보>안전선  넘나드는  관광객…  잡상인  지적도,사생활침해,
2,2014안건321,대구일보,10월  27일,종합 1면,"대구  자전거  도로  718km  ""있으나마나""",〃,
3,2014안건322,인터넷 대구일보,10월  26일,사회면,대구  자전거  도로  있으나마나,〃,
4,2014안건323,부산일보,10월  6일,종합 2면,‘디지털  도어록'  포장용  노끈에  뚫렸다!,범죄수법 상세묘사,
5,2014안건324,인터넷 부산일보,10월  6일,사회면,‘디지털  도어록'  포장용  노끈에  뚫렸다!,〃,
6,2014안건325,세계일보,10월  7일,사회 11면,'아날로그  도둑'에  뚫린  디지털  도어록,〃,
7,2014안건326,세계닷컴,10월  6일,사회면,포장용  노끈으로  도어록  열고  5억대 털어,〃,
8,2014안건327,국제신문,10월  7일,사회 8면,포장끈  하나에  뚫린  디지털  도어록,〃,
1,2014안건328,인터넷 국제신문,10월  6일,사회면,포장끈  하나에  뚫린  디지털  도어록,범죄수법 상세묘사,
2,2014안건329,뉴시스,10월  6일,사회면,신종  수법  아파트  전문털이  일당  검거,〃,
3,2014안건330,뉴스1,10월  6일,전국면,‘노끈으로…'고급  아파트  문  열고  수억원  훔친  일당  구속,〃,
4,2014안건331,연합뉴스,10월  6일,사회면,못  믿을  디지털도어록…포장끈  하나에  속수무책  뚫려,〃,
5,2014안건332,이투데이,10월  6일,사회면,포장용  노끈으로  아파트  디지털  도어록  '스르륵',〃,
6,2014안건333,인터넷 문화일보,10월  6일,사회면,"아파트  디지털도어록,  포장끈  하나에 뚫려",〃,
7,2014안건334,인터넷 충청일보,10월  6일,사회면,못  믿을  디지털도어록…포장끈  하나에  속수무책  뚫려,〃,
8,2014안건335,인터넷 국민일보,10월  6일,사회면,디지털  도어록  믿었다가…포장끈  하나에  속수무책,〃,
9,2014안건336,아시아투데이닷컴,10월  6일,사회면,"""디지털  도어록,  노끈으로  해제?""…40여곳서  수억원  턴  일당  검거",〃,
10,2014안건337,온라인 중앙일보,10월  6일,사회면,노끈으로  디지털  도어록  연  일당,〃,
11,2014안건338,인터넷 한국일보,10월  6일,사회면,노끈  하나로  뚫린  디지털  도어록,〃,
12,2014안건339,인터넷 일간스포츠,10월  6일,사회면,선물포장용  실크노끈으로  고급아파트  도어가  열린다…일당  덜미,〃,
13,2014안건340,일요시사,10월  26일,사회36~37면,신종  변태업소  '그루밍방'  가보니…,성관련 보도,
14,2014안건341,인터넷 일요시사,10월  30일,사회면,<현장르포>  신종  변태업소 ‘그루밍방’  가보니…,〃,
15,2014안건342,일요시사,11월  2일,사회36~37면,충격  한국에선  상상도  못할  나라밖 초엽기  사건들,〃,
16,2014안건343,인터넷 일요시사,11월  3일,사회면,한국에선  상상도  못할  나라밖  초엽기  사건들,〃,
17,2014안건344,문화일보,11월  3일,사회12면,‘생활苦'  일가족  3명  안타까운  자살,자살관련보도,
18,2014안건345,인터넷 문화일보,11월  3일,사회면,‘생활고’  자살  13세  딸  “우리가족  슬프지  않아”  유서,〃,
19,2014안건346,매일경제,11월  4일,사회31면,"‘생활苦’  엄마·딸  막다른  선택,  뒤늦게  안  아빠마저…",〃,
20,2014안건347,매경닷컴,11월  3일,사회면,"‘생활苦’  엄마·딸  막다른  선택,뒤늦게 안  아빠마저…",〃,
21,2014안건348,뉴스1,11월  3일,전국면,"""가족  함께라서  행복하게  죽는다""…생활고  비관  일가족  3명  자살",〃,
1,2014안건349,인터넷 인천일보,11월  3일,사회면,생활고가  만든  비극…하늘로  떠난 일가족,자살관련보도,
2,2014안건350,세계닷컴,11월  4일,사회면,"빌라  15채  '경매푸어'  인천가족  3명, ""함께해  행복했다""며  동반자살",〃,
3,2014안건351,아시아경제 닷컴,10월  2일,연예면,"지드래곤, SNS에  마약 '몰리'사진 올렸다  돌연  삭제…진짜야?",마약·약물,
4,2014안건352,인터넷 헤럴드경제,10월  2일,연예면,"지드래곤,  인스타그램에  마약  사진 게재  ‘논란’…  환각제  ‘몰리’(MOLLY)?",〃,
5,2014안건353,인터넷 서울경제,10월  2일,연예면,지드래곤이 SNS에  올린  흰색  가루...마약류  '몰리'?,〃,
6,2014안건354,인터넷 아주경제,10월  2일,연예면,"지드래곤,  SNS에  마약 '몰리'  사진 올렸다  삭제",〃,
7,2014안건355,위키트리,10월  2일,연예면,지드래곤이 SNS에서  삭제한  마약 추정  '몰리'  사진,〃,
8,2014안건356,MK패션,10월  2일,연예면,"지드래곤,  마약 ‘몰리’  사진에 ‘소변검사  해야한다’  vs  ‘쿨하게  보이려는 허세’",〃,
9,2014안건357,뉴스1,11월  5일,전국면,"경기경찰청,  인터넷  대마초  밀수·유통  일당  5명  검거",〃,
10,2014안건358,온라인 중앙일보,11월  5일,사회면,미국  사이트에서  대마초    밀수해  카톡으로  판매,〃,
11,2014안건359,인터넷 기호일보,11월  6일,사회면,경기지방경찰청  마약수사대  대마초 판매  및  흡연자  등  30여명  적발,〃,
12,2014안건360,사건의 내막,10월  19일,정치2~4면,김무성  또!  개헌발언  앞과  뒤,여론조사 보도,
13,2014안건361,인터넷 사건의 내막,10월  20일,정치면,김무성  또!  개헌론  치고  빠지기  앞과 뒤,〃,
1,2016안건648,뉴시스,10월  5일,전국,고립된  시민구조하는  119구조대,사생활 침해,
2,2016안건649,이타임즈,10월  5일,사회,고립된  시민구조하는  119구조대,〃,
3,2016안건650,인터넷 일간스포츠,10월  5일,사회,고립된  시민구조하는  119구조대,〃,
4,2016안건651,뉴스아이즈,9월  28일,시티뉴스,"서산소방서,  나무틀  사이에  팔이  낀 2세  여아  안전  구조",〃,
5,2016안건652,뉴스충청인,9월  26일,충청남도,"서산소방서,  나무틀  사이에  팔이  낀 2세  여아  안전  구조",〃,
6,2016안건653,세종경제뉴스,9월  29일,종합,"상당서  용암지구대,  폐집  수입  노인 사고예방  교육",〃,
1,2016안건654,엔사이드,9월  27일,사회,강릉시  죽헌동  주택화재  발생,사생활침해,
2,2016안건655,인터넷 문경시민신문,8월  16일,사건·사고,경운기  사고  1명  사망,〃,
3,2016안건656,인터넷 문경시민신문,8월  22일,사건·사고,변사자  발생,〃,
4,2016안건657,인터넷 문경시민신문,8월  22일,사건·사고,전직  경찰관  변사,〃,
5,2016안건658,인터넷 서울일보,9월  7일,경남,"김해시,  추석  맞아  어려운  이웃  위문 격려",〃,
6,2016안건659,FPN,9월  5일,소방서,"영등포소방서,  저소득  가정 화재피해복구  지원",〃,
7,2016안건660,뉴스코리아저널,9월  17일,타운뉴스,"달라스  한인타운  인근  마사지업소들 급습  단속,  15명  여성  성매매  운영 혐의로  체포...  한인  대거  포함  충격",피의자 신원 공개,
8,2016안건661,조선일보,10월  12일,A12면,김경재  자유총연맹  회장  사기 혐의로  피소,고소고발보도,
9,2016안건662,조선닷컴,10월  12일,사회,김경재  자유총연맹  회장  사기 혐의로  피소,〃,
10,2016안건663,연합뉴스TV,10월  12일,뉴스현장,김경재  자유총연맹회장  사기  혐의 피소,〃,
11,2016안건664,뉴스1코리아,10월  12일,사회,김경재  한국자유총연맹회장  사기 혐의로  피소,〃,
12,2016안건665,뉴시스,10월  11일,사회,"자유총연맹  김경재  회장,  취업알선 사기  혐의  피소",〃,
13,2016안건666,연합뉴스,10월  12일,사회,"김경재  자유총연맹  회장,  사기  혐의 피소…김  ""무고로  고소할  것""",〃,
14,2016안건667,더한국타임즈,10월  11일,사회,김경재(전  순천  국회의원) 자유총연맹  회장  사기  고소,〃,
15,2016안건668,동아닷컴,10월  11일,사회,[단독]“조카  취업시켜줄게”  김경재 자유총연맹  회장  사기  고소,〃,
16,2016안건669,디오데오,10월  12일,사회,김경재  한국자유총연맹  회장  사기 혐의로  피소(종합),〃,
17,2016안건670,매경닷컴,10월  13일,사회,"김경재  자유총연맹  회장,  ‘취업 청탁’  사기  혐의로  피소",〃,
18,2016안건671,민중의소리,10월  12일,사회,"朴대통령  비서실  출신  김경재  회장, '취업청탁  금품수수'  사기혐의  피소",〃,
19,2016안건672,서울투데이(Seoultoday),10월  12일,사회,"김경재  자유총연맹회장,  '취업청탁' 사기  혐의  피소  ᆢ""무고로  맞고소"" 방침",〃,
1,2016안건673,스타서울TV,10월  13일,사회,"사기  혐의  피소,  한국자유총연맹 김경재  회장  “분할로  갚으려  했으나 거부”",고소고발보도,
2,2016안건674,온라인 중앙일보,10월  11일,사회,"자유총연맹  김경재  회장,  취업알선 사기  혐의  피소",〃,
3,2016안건675,이뉴스투데이,10월  13일,사회,"'사기  혐의  피소'  김경재 자유총연맹  회장,  취업알선  대가 3000만원  받았다?",〃,
4,2016안건676,이타임즈,10월  11일,사회,"자유총연맹  김경재  회장,  취업알선 사기  혐의  피소",〃,
5,2016안건677,인터넷 경기도민일보,10월  13일,사회,"사기  혐의  피소,  한국자유총연맹 김경재  회장  “분할로  갚으려  했으나 거부”",〃,
6,2016안건678,인터넷 경기일보,10월  13일,사회,"김경재  자유총연맹회장,  사기  혐의 피소…“조카  취업조건  3천만원 줬다”",〃,
7,2016안건679,인터넷 경인일보,10월  13일,사회,"김경재  자유총연맹  회장,  취업청탁 사기  혐의로  피소…  ""무고죄로 맞고소""",〃,
8,2016안건680,인터넷 서울경제,10월  11일,사회,"김경재  한국자유총연맹  회장,  취업 사기  혐의로  고소",〃,
9,2016안건681,인터넷 서울신문,10월  13일,사회,"사기  혐의  피소,  김경재 자유총연맹회장…“조카  취업알선 3000만원  받았다”",〃,
10,2016안건682,인터넷 스포츠경향,10월  13일,생활,"박근혜  대통령  특보  출신  김경재, 취업청탁  사기혐의로  피소",〃,
11,2016안건683,인터넷 시사저널,10월  12일,사회,"김경재  자유총연맹  총재,  취업  알선 대가로  금품수수  의혹",〃,
12,2016안건684,인터넷 아주경제,10월  12일,사회,"김경재  자유총연맹회장,  사기  혐의 피소  당해…  ""무고로  맞고소""",〃,
13,2016안건685,인터넷 이데일리,10월  11일,사회,"김경재  자유총연맹  회장,  '취업 알선'  사기  혐의  피소",〃,
14,2016안건686,인터넷 일간스포츠,10월  11일,사회,"자유총연맹  김경재  회장,  취업알선 사기  혐의  피소",〃,
15,2016안건687,인터넷 전자신문,10월  13일,라이프,"김경재  자유총연맹  회장,  '취업알선' 사기  혐의로  피소  VS  무고  혐의로 맞고소  할  것",〃,
16,2016안건688,인터넷 파이낸셜뉴스,10월  13일,사회,"자유총연맹  김경재  회장,  '취업알선' 사기  혐의로  피소  vs  무고로  맞고소 할  예정",〃,
17,2016안건689,인터넷 한국증권신문,10월  11일,사회,"김경재  자유총연맹  회장  ""돈  주면 취업  시켜줄게""  사기  고소",〃,
1,2016안건690,인터넷 헤럴드경제,10월  12일,뉴스속보,"靑특보출신  김경재  자유총연맹회장, ‘취업청탁’  사기  혐의  피소",고소고발보도,
2,2016안건691,조세일보,10월  13일,연예스포츠,"김경재  자유총연맹  회장,  '취업 알선'  사기  혐의로  피소…""무고로 맞고소하겠다""",〃,
3,2016안건692,쿠키뉴스,10월  12일,사회,"김경재  자유총연맹회장,  취업청탁 받고  금품  챙긴  혐의로  피소",〃,
4,2016안건693,한경닷컴,10월  12일,사회,"김경재  자유총연맹회장,  사기  혐의 피소…김  ""무고로  고소할  것""",〃,
5,2016안건694,e글로벌이코노믹,10월  13일,사회,"[인물연구]  사기혐의  피소  김경재는 누구?  박근혜  대통령  특별보좌관 출신,  한국  자유총연맹  회장",〃,
6,2016안건695,e머니에스,10월  12일,핫이슈,"김경재  자유총연맹  회장,  '취업 청탁'  사기  혐의로  피소",〃,
7,2016안건696,e머니투데이,10월  11일,사회,김경재  자유총연맹  회장 피소…취업알선  사기  혐의,〃,
8,2016안건697,OM뉴스(옴부즈맨뉴스),10월  13일,정치·경제·사회,"김경재  한국자유총연맹  회장,  사기 혐의로  영등포경찰서에  피소",〃,
9,2016안건698,스타뉴스,9월  23일,엔터테인먼트,"정준영,  성폭행  혐의  피소..""검찰 송치  수사中""",〃,
10,2016안건699,이타임즈,9월  23일,사회,"정준영,  성범죄  혐의  피소…연예계 연이은  성추문",〃,
11,2016안건700,인터넷 스포츠서울,9월  23일,연예,"[단독]가수  정준영,  성범죄  혐의로 여성에게  피소  충격",〃,
12,2016안건701,인터넷 스포츠투데이,9월  23일,연예,정준영  올초  女에  성범죄  혐의 피소…검찰  조사  마쳤다,〃,
13,2016안건702,인터넷 일간스포츠,9월  23일,연예,"정준영,  성폭행  혐의로  피소..소속사 측  ”사실  확인  중”",〃,
14,2016안건703,티비리포트,9월  23일,연예,"정준영,  성범죄  혐의  피소…연예계 연이은  성추문",〃,
15,2016안건704,정읍투데이,9월  20일,지방자치,정읍署  중앙지구대  길잃은 치매할머니  정성어린  탐문으로   안전  귀가,정신질환자  신원 공개,
16,2016안건705,주간조선,8월  29일,20~21면,"태영호  공사  부부,  진짜  빨치산 혈통인가?",북한이탈주민 신원 공개,
17,2016안건706,인터넷 주간조선,8월  29일,정치,"태영호  공사  부부,  진짜  빨치산 혈통인가?",〃,
1,2016안건707,국민일보,9월  29일,2면,"홍콩언론  ""탈북  수학영재,  홍콩  떠나 한국  입국""",북한이탈주민 신원 공개,
2,2016안건708,인터넷 국민일보,9월  28일,시사,"홍콩언론  “탈북  수학영재,  홍콩  떠나 한국  입국”",〃,
3,2016안건709,매일경제,9월  29일,A6면,"""탈북영재  홍콩  떠나  한국  도착""",〃,
4,2016안건710,매경닷컴,9월  29일,사회,"홍콩언론  “탈북  수학영재,  홍콩  떠나 한국  도착”",〃,
5,2016안건711,서울경제,9월  29일,6면,"홍콩  언론  ""탈북  수학영재   한국도착""",〃,
6,2016안건712,인터넷 서울경제,9월  28일,정치,"""탈북  수학영재,  홍콩  떠나  한국 도착""...홍콩언론  보도",〃,
7,2016안건713,서울신문,9월  29일,6면,"""탈북  수학영재,  제3국  거쳐  24일 한국  도착""",〃,
8,2016안건714,인터넷 서울신문,9월  29일,정치,"탈북  수학영재,  ‘수학  교사’  아버지 독려에  어릴  적부터  한국행  준비",〃,
9,2016안건715,세계일보,9월  29일,6면,탈북  수학영재  최근  국내  입국,〃,
10,2016안건716,세계닷컴,9월  28일,정치,[단독]  탈북  수학영재  9월  초  한국 입국,〃,
11,2016안건717,조선일보,9월  29일,A4면,홍콩  머물던  脱北  수학영재  한국 도착,〃,
12,2016안건718,조선닷컴,9월  29일,사회,"탈북  수학영재,  ""강원도  살면서 한국TV  자주봐  한국행 결심…수학교사  아버지가  아들에게 한국행  독려""",〃,
13,2016안건719,한국경제,9월  29일,A26면,"""18세  탈북  수학영재  홍콩  떠나 한국에  입국""",〃,
14,2016안건720,한경닷컴,9월  28일,정치,"""탈북  수학영재,  오래전  한국행 결심…수학교사  부친이  독려""",〃,
15,2016안건721,한국일보,9월  29일,29면,"탈북  수학영재,  망명  신청  2개월 만에  한국  도착",〃,
16,2016안건722,인터넷 한국일보,9월  28일,국제,"홍콩  언론  “18세  탈북  수학영재, 한국  도착”",〃,
17,2016안건723,부산일보,9월  29일,6면,"""올림피아드  銀  탈북  수학영재  최근 홍콩  떠나  한국  도착""",〃,
18,2016안건724,인터넷 부산일보,9월  28일,사회,"""올림피아드  銀  탈북  수학영재  최근 홍콩  떠나  한국  도착""",〃,
1,2016안건725,시민일보,9월  30일,11면,"中,  '탈북학생'  한국행  용인  핵실험 강행  北  손봐주기?",북한이탈주민 신원 공개,
2,2016안건726,인터넷 시민일보,9월  29일,사회,"'中,  '탈북학생'  한국행  용인… 핵실험  강행  北  손봐주기?",〃,
3,2016안건727,뉴스1코리아,8월  2일,정치,"""홍콩  탈북  학생, 국제수학올림피아드  3차례  은메달 수상자""",〃,
4,2016안건728,뉴시스,9월  28일,사회,"외교부,  탈북  수학영재  한국행  ""확인 해  줄  수  없어""",〃,
5,2016안건729,연합뉴스,9월  28일,세계,"""탈북  수학영재,  오래전  한국행 결심…수학교사  부친이  독려""",〃,
6,2016안건730,노컷뉴스,9월  28일,세계,"탈북  수학영재,  24일  홍콩  떠나 한국  도착<홍콩  매체>",〃,
7,2016안건731,뉴데일리,9월  29일,북한,"""탈북  수학영재,  일본  경유해  한국 도착""",〃,
8,2016안건732,뉴스핌,9월  29일,정치,"홍콩  언론  ""18세  탈북  수학영재 한국  도착""",〃,
9,2016안건733,동아닷컴,9월  29일,정치,"“탈북  수학영재,  홍콩  떠나 한국으로”",〃,
10,2016안건734,더코리아프레스,9월  29일,뉴스,탈북  수학영재  리정열  한국  도착,〃,
11,2016안건735,디오데오,9월  28일,정치,이번엔  北수학  영재  국내 입국…태영호  망명  두달만에,〃,
12,2016안건736,미디어펜,9월  28일,정치,"홍콩서  사라진  탈북  수학영재,  국내 입국한  듯",〃,
13,2016안건737,브릿지경제신문,7월  29일,국제,홍콩주재  韓  총영사관  진입  북한 학생  '실종',〃,
14,2016안건738,시사뉴스터치,7월  29일,정치,홍콩  韓영사관  진입  탈북자  16일 저녁  실종,〃,
15,2016안건739,아시아경제닷컴,9월  29일,사회,한국  온  '탈북  수학영재'의 사연…수학  교사  부친  독려로 한국행  결심,〃,
